Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Strengthen Asian Language and Literacy Education in Schools,Australian Labor Party,"<div>Labor has committed $32 million to strengthen Asian language and literacy education in schools.</div><div>&nbsp;</div><div>Labor will:&nbsp;</div><div><ol><li>Boost the supply of Asian language teachers - Up to 100 scholarships a year for Australians who are Asian language native speakers and for top performers in priority Asian languages in Year 12, to go on to study a teaching qualification.</li><li>Establish a new nationwide FutureAsia – Asia Capable Schools program - Intensive training for 5,000 principals and senior teachers.</li><li>Improve Asian languages curriculum materials from pre-school to Year 12 - This would build on the existing Early Language Literacy App and Language Learning Space.&nbsp; Hindi will be added as the first priority.</li><li>Set ambitious targets and goals for Asian languages - Working with the state and territories through COAG, and with non-government schools.</li><li>Collect better data about the take up of Asian languages in Australia - So we can more easily track the progress and takeup of Asian languages</li><li>Establish an Advisory Council on Asia Capabilities - Headed up by experts from academia, the education sector, business, and not-for-profits to drive research and generate new ideas to boost teaching and learning about Asia across all levels of Australia’s education system</li><li>Undertake a whole-of-government audit of Australian and state government policies and programs on Asian literacy and languages education - To stop costly duplication and to ensure government money is well targeted at achieving improved Asia capability.</li><li>Convene regular meetings of Indo-Pacific Education Ministers - To further strengthen educational links between Australia and our Asian neighbours.&nbsp; The meetings will discuss collaborative education initiatives, scholarships, and strengthening ties across school and post-secondary education systems.</li></ol></div><div>&nbsp;</div>",$32 million,,25/10/2018,,Education and Training,Press Release,Deputy Leader,National,5,,,TRUE,FALSE,,485
New Home for Surfing WA,Australian Labor Party,"Labor has committed $4 million to build a new home for Surfing WA at Trigg Beach.&nbsp;<div><br></div><div>The new headquarters will feature more space for surfing lessons, water safety programs, training of judges and officials, increased storage and more work space for staff. Labor's investment will also help Surfing WA to continue to run four international surfing events.</div>",$4 million,,20/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,486
Expanding Indigenous Rangers and Indigenous Protected Areas in WA,Australian Labor Party,"Labor has committed $230 million dollars over five years to work with the Western Australian government to double the number of Indigenous Rangers in WA, and take action to expand the number of Indigenous Protected Areas.<div><br></div><div>Under a Labor Government, the federal Indigenous Rangers will look to partner where possible with WA Aboriginal Rangers to maximise employment opportunities for Indigenous people in Western Australia, and the country being cared for by Indigenous Australians.<br></div><div><br></div><div><div>Labor is also seeking to expand the number of Indigenous Protected Areas and improve sea country management for species such as turtles and dugongs around Australia and will work with the WA government to do this.</div></div><div><br></div>",$230 million dollars over five years,,20/03/2019,,Indigenous Affairs,Press Release,Leader,State,5,,,TRUE,FALSE,,487
Doubling the Number of Indigenous Rangers,Australian Labor Party,"Labor has committed to double the number of full-time Aboriginal and Torres Strait Islander Rangers across Australia. Labor will invest $210 million over five years to boost the number of Indigenous Rangers to more than 1550 full-time equivalent positions by 2021.<div><br></div><div>On 20 March 2019, Labor reaffirmed this commitment to double the number of Indigenous Rangers over five years, meaning over 1650 full-time positions across the country.<br><div><br></div><div><br></div></div>",$210 million over five years,,11/05/2017,,Indigenous Affairs,Press Release,Leader,National,3,,,TRUE,FALSE,,488
Protecting Farmers from Banking Misconduct ,Australian Labor Party,"Labor has committed to a range to measures to assist farmers who have been negatively impacted by banking misconduct. These measures include:<div><ul><li>Reviewing the treatment of distressed loans, by looking at cases where default interest was charged by banks to farms for the last five years.&nbsp;</li><li>Introducing a tough new regulatory process for banks to seek a pre-approval for farm foreclosures.<br></li><li>Doubling the Australian Financial Complaints Authority's current compensation caps for farmers from $2 to $4 million.<br></li></ul></div>",,,3/03/2019,,Treasury,Press Release,Leader,National,5,,,TRUE,FALSE,,489
Bank Victim Compensation Scheme,Australian Labor Party,"Labor has committed to establish a comprehensive, independent retrospective compensation scheme to help thousands of Australians who have been negatively impacted by banking misconduct. The scheme will include<div><ul><li>Increase compensation caps at the Australian Financial Complaints Authority (AFCA) – Labor will double the compensation cap for small businesses (from $1 to $2 million) and quadruple the cap for consumers with credit-related disputes (from $500,00 to $2 million).</li><li>Compensation for non-financial losses will be increased from the current AFCA cap of $5,000 to up to $2 million for consumers and small businesses.</li><li>Eligibility limits for consumers that ACFA can consider will be increased from $1 to $2 million.</li><li>A Retrospective Compensation Scheme which will give consumers and small businesses the opportunity to have their claims heard for actions back to 1 January 2008, with applicants given two years to
submit the claim.&nbsp;<br></li></ul></div>",,,22/02/2019,,Treasury,Press Release,Leader,National,5,,,TRUE,FALSE,,490
Funding for Moreton Bay Campus ,Australian Labor Party,"Labor has committed $120 million in the University of the Sunshine Coast’s new Moreton Bay Campus.&nbsp;<div><ul><li>$50 million of Labor’s investment will help build a state-of-the-art super laboratory that will transform the
Moreton Bay region into a high tech education hub.&nbsp;</li><li>The remaining $70 million&nbsp;will guarantee funding for every single Australian undergraduate student enrolled at the
Moreton Bay Campus.&nbsp;</li></ul></div>",$120 million ,,22/06/2019,,Education and Training,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,491
Changes to Capital Gains Tax,Australian Labor Party,"Labor has committed to halve the capital gains discount for all assets purchased after a yet-to-be-determined date, reducing the tax discount for assets that are held longer than 12 months from 50 per cent to 25 per cent.<div><br></div><div>All investments made before the date will not be affected, and will be fully grandfathered.</div>",,,13/02/2016,,Treasury,Policy document,Leader,National,1,,,TRUE,FALSE,With Policy Area,492
Small Business Policy Package - Package Overview,Australian Labor Party,"Labor has committed to a suite of measures which will enable small businesses in Australia to flourish.<div><br></div><div>Measures include:</div><div><ul><li>Tax cuts for small and medium-sized businesses with a turnover of up to $50 million a year.</li><li>Legislation to establish a new position of Second Commissioner (Appeals) within the Tax Office, to ensure small business disputes are given the care and attention they deserve.<br></li><li>Tackling anti-competitive behaviour. (Labor's Small Business Access to Justice measures passed Parliament in 2019)</li><li>Protecting small business by making unfair contract terms illegal and punishable.<br></li><li>Ability for peak consumer groups to make 'Supercomplaints' to the Australian Competition and Consumer Commission.<br></li><li>Anti-phoenixing measures.</li><li>Australian Investment Guarantee for companies investing in Australia.</li><li>Establishing an NBN Service Guarantee.</li><li>Establishing a new Advanced Manufacturing Future Fund.</li><li>A better deal for auto dealers.</li><li>Your car, your choice.</li></ul><div><br></div><div><br></div></div>",,,21/03/2019,,Treasury,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,493
'Supercomplaints' to the Australian Competition and Consumer Commission,Australian Labor Party,"Labor has committed to support competition and small business by empowering selected peak consumer groups to make a 'supercomplaint' to the Australian Competition and Consumer Commission. This might involve issues such as energy pricing, credit card surcharges, misleading labelling or unfair terms in small business contracts.",,,21/03/2019,,Treasury,Policy document,Relevant Spokesperson,National,5,,,TRUE,FALSE,,494
Saving the Mater - Purchase of Gladstone Mater Hospital,Australian Labor Party,"Labor has committed $15 million, in partnership with the Queensland government, to help acquire the Gladstone Mater Private Hospital.<div><br></div><div>The Queensland Government will operate the Mater as an extension of the existing public hospital, ensuring the people of Gladstone don’t lose any of the health services they rely on.<br></div><div><br></div><div>Saving the Mater is part of Labor’s Fair Go Action Plan to fix hospitals and strengthen Medicare.<br></div>",$15 million,,21/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,495
Port Adelaide Football Club Aboriginal Centre of Excellence,Australian Labor Party,"<div>Labor has committed $5 million towards closing the gap in South Australia by assisting the Port Adelaide Football Club in establishing the Aboriginal Centre of Excellence.</div><div><br></div><div>The Aboriginal Centre of Excellence will help close the gap for Indigenous students by providing boarding capacity for 50 both male and female students from metro, rural and regional South Australia.</div><div><br></div><div>Students will be able to reach their full potential residing full time at the Centre while attending school, with additional programs focused on culture and identity, resilience, wellbeing, health and fitness, respectful relationships; and substance misuse.</div><div><br></div>",$5 million,,21/03/2019,,Indigenous Affairs,Press Release,Local Candidate,State,5,,,TRUE,FALSE,,496
Morley-Ellenbrook Railway Line,Australian Labor Party,"Labor has committed a total of $850 million to partner with the WA Government to build the Morley-Ellenbrook Line.&nbsp;The Morley-Ellenbrook line is a central part of Stage One of Perth’s METRONET program. It will reduce traffic congestion by giving commuters in Perth’s north-eastern suburbs the option of fast and efficient travel to the City.<div><br></div><div>The announcement of an additional $150 million investment will enable more works to be included as part of the Bayswater Station upgrade project.</div><div><br></div><span style=""font-size: 12pt; line-height: 17.12px; font-family: Helvetica, sans-serif;""></span>",$850 million,,21/03/2019,,"Infrastructure, Regional Development and Cities",Door Stop,Leader,State,5,,,TRUE,FALSE,,497
